Areaname,STCOU,PST045202D
"Kern, CA",06029,689204
"Kings, CA",06031,134681
"Lake, CA",06033,61674
"Lassen, CA",06035,33300
"Los Angeles, CA",06037,9717871
"Madera, CA",06039,127841
"Marin, CA",06041,246332
"Mariposa, CA",06043,17202
"Mendocino, CA",06045,86911
"Merced, CA",06047,223666
"Modoc, CA",06049,9240
"Mono, CA",06051,13191
"Monterey, CA",06053,409210
"Napa, CA",06055,128584
"Nevada, CA",06057,94412
"Orange, CA",06059,2917106
"Placer, CA",06061,277833
"Plumas, CA",06063,20861
"Riverside, CA",06065,1682749
"Sacramento, CA",06067,1299105
"San Benito, CA",06069,55217
"San Bernardino, CA",06071,1800599
"San Diego, CA",06073,2901235
"San Francisco, CA",06075,779281
"San Joaquin, CA",06077,608367
"San Luis Obispo, CA",06079,252932
"San Mateo, CA",06081,699043
"Santa Barbara, CA",06083,402079
"Santa Clara, CA",06085,1673028
"Santa Cruz, CA",06087,253708
"Shasta, CA",06089,171141
"Sierra, CA",06091,3462
"Siskiyou, CA",06093,43908
"Solano, CA",06095,407855
"Sonoma, CA",06097,463593
"Stanislaus, CA",06099,477197
"Sutter, CA",06101,81767
"Tehama, CA",06103,57000
"Trinity, CA",06105,13158
"Tulare, CA",06107,378285
"Tuolumne, CA",06109,55681
"Ventura, CA",06111,776560
"Yolo, CA",06113,180290
"Yuba, CA",06115,62399
COLORADO,08000,4504265
"Adams, CO",08001,371781
"Alamosa, CO",08003,15168
"Arapahoe, CO",08005,509598
"Archuleta, CO",08007,10951
"Baca, CO",08009,4331
"Bent, CO",08011,5903
"Boulder, CO",08013,281941
"Broomfield, CO",08014,42522
"Chaffee, CO",08015,16668
"Cheyenne, CO",08017,2100
"Clear Creek, CO",08019,9492
"Conejos, CO",08021,8299
"Costilla, CO",08023,3557
"Crowley, CO",08025,5792
"Custer, CO",08027,3667
"Delta, CO",08029,28764
"Denver, CO",08031,561072
"Dolores, CO",08033,1842
"Douglas, CO",08035,210037
"Eagle, CO",08037,44477
"Elbert, CO",08039,21779
"El Paso, CO",08041,544815
"Fremont, CO",08043,47197
"Garfield, CO",08045,46793
"Gilpin, CO",08047,4859
"Grand, CO",08049,12959
"Gunnison, CO",08051,14314
"Hinsdale, CO",08053,797
"Huerfano, CO",08055,7921
"Jackson, CO",08057,1521
"Jefferson, CO",08059,529191
"Kiowa, CO",08061,1485
"Kit Carson, CO",08063,8203
"Lake, CO",08065,7819
"La Plata, CO",08067,45979
"Larimer, CO",08069,265659
"Las Animas, CO",08071,15443
"Lincoln, CO",08073,5857
"Logan, CO",08075,21229
"Mesa, CO",08077,122131
"Mineral, CO",08079,857
"Moffat, CO",08081,13304
"Montezuma, CO",08083,23943
"Montrose, CO",08085,35108
"Morgan, CO",08087,27499
"Otero, CO",08089,19673
"Ouray, CO",08091,3914
"Park, CO",08093,15919
"Phillips, CO",08095,4521
"Pitkin, CO",08097,14909
"Prowers, CO",08099,14170
"Pueblo, CO",08101,146735
"Rio Blanco, CO",08103,5909
"Rio Grande, CO",08105,12157
